keywords;real label;predicted label;confidence;description
abedin terrorists;UNPROVEN;FALSE;0.9711800086602477;"Huma Abedin retained deleted e-mails of Hillary Clinton's in a folder marked ""life insurance"" and cut a deal with the FBI."
amish autism;FALSE;FALSE;0.9466055885211276;The Amish don’t get autism because they do not vaccinate their children.
amish trump;FALSE;FALSE;0.9157744660342767;The Amish Brotherhood have endorsed Donald Trump for president.
baby wipes warning;FALSE;FALSE;0.9450527104607133;"Doctors are now warning parents to never use baby wipes because they contain a ""chemical"" called methylisothiazolinone."
bill clinton underage sex;FALSE;FALSE;0.7541259546697607;The NYPD is investigating and building a case against Bill Clinton pertaining to an underage sex ring.
blm millbury;TRUE;TRUE;0.9919020943521216;"The wife of a Millbury police officer allegedly sprayed ""BLM"" on the couple's home and claimed there was a break-in."
british rule united states;FALSE;FALSE;0.8220270243452191;Queen Elizabeth II has offered to restore British rule over the United States of America.
broomstick one;UNPROVEN;FALSE;0.9785026731628838;"Secret Service and military personnel have used the designation ""Broomstick One"" for aircraft carrying Hillary Clinton."
carolina hillary multiple;FALSE;FALSE;0.8873981412616351;A Hillary Clinton supporter in North Carolina voted multiple times using his friends' identities.
chelsea clinton soros;FALSE;FALSE;0.8971125265189362;Chelsea Clinton is married to George Soros' nephew.
clinton halfway house;FALSE;FALSE;0.7077350253406802;A California halfway house resident was promised $300 if he voted for Hillary Clinton.
clinton illegal arms guns;FALSE;FALSE;0.9991104170106134;The Clinton Foundation has purchased over $137 million of illegal arms and ammunition
clinton topless;FALSE;FALSE;0.6895338909890877;A photograph shows Hillary Clinton and her college roommate walking topless in the 1960s
comey super pac;FALSE;FALSE;0.9828841616013432;Just hours after FBI Director James Comey announced a development in the Clinton e-mail server investigation an anti-Trump Super PAC announced a complaint against Comey.
cubs 108 stitches;TRUE;TRUE;0.8562203575003139;A list of coincidences connecting the number 108 to the Chicago Cubs world series victory in 2016 is accurate.
cubs extra innings 2014;TRUE;TRUE;0.8513458662010526;A Twitter user seemingly correctly anticipated an extra-inning Cubs-Indians World Series Game 7 back in 2014
dinosaur brain;TRUE;TRUE;0.7505871099950999;More than a decade after it was unearthed an enigmatic rock may turn out to preserve the first fossilized dinosaur brain tissue ever discovered.
dnc lawsuit dies death;TRUE;TRUE;0.6490245693428338;Shawn Lucas depicted in a viral video serving the DNC with a lawsuit in July 2016 died of accidental polypharmacy in August 2016.
